,dt,LandAverageTemperature,difference_with_meadian
62,1755-03-01,3.607,-5.1305000000000005
63,1755-04-01,9.263,0.5254999999999992
64,1755-05-01,12.880999999999998,4.143499999999998
65,1755-06-01,15.38,6.6425
66,1755-07-01,14.397,5.6594999999999995
67,1755-08-01,13.515,4.7775
68,1755-09-01,11.773,3.035499999999999
69,1755-10-01,9.97,1.2325
70,1755-11-01,5.957999999999998,-2.7795000000000023
71,1755-12-01,2.564,-6.173500000000001
72,1756-01-01,3.887,-4.8505
73,1756-02-01,5.666,-3.0715000000000003
74,1756-03-01,4.192,-4.5455000000000005
75,1756-04-01,10.042,1.304499999999999
76,1756-05-01,14.163999999999998,5.426499999999997
77,1756-06-01,14.547,5.8095
78,1756-07-01,13.906,5.1685
79,1756-08-01,13.437,4.699499999999999
80,1756-09-01,12.652,3.9144999999999985
81,1756-10-01,7.3119999999999985,-1.4255000000000022
82,1756-11-01,4.225,-4.512500000000001
83,1756-12-01,2.165,-6.572500000000001
84,1757-01-01,-0.27600000000000025,-9.0135
85,1757-02-01,3.7039999999999997,-5.033500000000001
86,1757-03-01,4.529,-4.208500000000001
87,1757-04-01,8.245999999999999,-0.49150000000000205
88,1757-05-01,13.039,4.301499999999999
89,1757-06-01,17.115,8.377499999999998
90,1757-07-01,17.61,8.872499999999999
91,1757-08-01,17.91,9.1725
92,1757-09-01,14.852,6.1145
93,1757-10-01,6.4819999999999975,-2.255500000000003
94,1757-11-01,4.032,-4.705500000000001
95,1757-12-01,1.0210000000000004,-7.7165
96,1758-01-01,-1.5029999999999997,-10.2405
97,1758-02-01,0.8059999999999999,-7.931500000000001
98,1758-03-01,3.765,-4.9725
99,1758-04-01,7.209999999999999,-1.5275000000000016
100,1758-05-01,9.715,0.9774999999999991
101,1758-06-01,13.139,4.401499999999999
102,1758-07-01,13.847,5.109499999999999
103,1758-08-01,11.818,3.080499999999999
104,1758-09-01,10.027999999999999,1.290499999999998
105,1758-10-01,1.8939999999999992,-6.8435000000000015
106,1758-11-01,6.955,-1.7825000000000006
107,1758-12-01,3.2489999999999997,-5.488500000000001
108,1759-01-01,5.0139999999999985,-3.7235000000000023
109,1759-02-01,4.082,-4.655500000000001
110,1759-03-01,4.52,-4.217500000000001
111,1759-04-01,5.983,-2.754500000000001
112,1759-05-01,10.189,1.4514999999999993
113,1759-06-01,13.512,4.7745
114,1759-07-01,12.526,3.788499999999999
115,1759-08-01,14.587,5.849499999999999
116,1759-09-01,12.626,3.8884999999999987
117,1759-10-01,8.267000000000001,-0.4704999999999995
118,1759-11-01,4.268000000000002,-4.469499999999999
119,1759-12-01,0.2469999999999999,-8.4905
120,1760-01-01,-0.8109999999999999,-9.5485
121,1760-02-01,2.436,-6.301500000000001
122,1760-03-01,1.864,-6.873500000000001
123,1760-04-01,7.435999999999999,-1.3015000000000017
124,1760-05-01,10.661,1.9234999999999989
125,1760-06-01,11.945,3.2074999999999996
126,1760-07-01,12.887,4.1495
127,1760-08-01,13.917,5.179499999999999
128,1760-09-01,11.197,2.4594999999999985
129,1760-10-01,6.7010000000000005,-2.0365
130,1760-11-01,5.436,-3.3015000000000008
131,1760-12-01,2.553,-6.184500000000001
132,1761-01-01,0.6000000000000001,-8.137500000000001
133,1761-02-01,2.735,-6.002500000000001
134,1761-03-01,5.976,-2.7615000000000007
135,1761-04-01,7.3210000000000015,-1.4164999999999992
136,1761-05-01,13.450999999999999,4.713499999999998
137,1761-06-01,16.820999999999998,8.083499999999997
138,1761-07-01,19.021,10.2835
139,1761-08-01,15.331,6.593499999999999
140,1761-09-01,12.534999999999998,3.7974999999999977
141,1761-10-01,7.2269999999999985,-1.5105000000000022
142,1761-11-01,5.089,-3.6485000000000003
143,1761-12-01,-0.8370000000000002,-9.5745
144,1762-01-01,6.8660000000000005,-1.8715000000000002
145,1762-02-01,4.801,-3.9365000000000006
146,1762-03-01,3.5280000000000005,-5.2095
147,1762-04-01,9.019,0.2814999999999994
148,1762-05-01,10.880999999999998,2.1434999999999977
149,1762-06-01,13.499,4.7615
150,1762-07-01,14.72,5.9825
151,1762-08-01,13.992,5.2545
152,1762-09-01,10.325999999999999,1.588499999999998
153,1762-10-01,6.1560000000000015,-2.5814999999999992
154,1762-11-01,6.367000000000001,-2.3705
155,1762-12-01,3.123,-5.6145000000000005
156,1763-01-01,1.3690000000000002,-7.368500000000001
157,1763-02-01,0.7709999999999999,-7.966500000000001
158,1763-03-01,1.5760000000000003,-7.1615
159,1763-04-01,7.870999999999999,-0.866500000000002
160,1763-05-01,10.700999999999999,1.963499999999998
161,1763-06-01,12.270999999999999,3.5334999999999983
162,1763-07-01,16.391,7.6534999999999975
163,1763-08-01,14.126,5.388499999999999
164,1763-09-01,11.378,2.6404999999999994
165,1763-10-01,5.535,-3.2025000000000006
166,1763-11-01,4.588,-4.149500000000001
167,1763-12-01,3.384,-5.3535
168,1764-01-01,1.741,-6.996500000000001
169,1764-02-01,6.162000000000001,-2.5755
170,1764-03-01,5.521,-3.216500000000001
171,1764-04-01,7.879999999999999,-0.8575000000000017
172,1764-05-01,11.175,2.4375
173,1764-06-01,11.722999999999999,2.9854999999999983
174,1764-07-01,12.507,3.769499999999999
175,1764-08-01,12.282,3.5444999999999993
176,1764-09-01,10.696,1.958499999999999
177,1764-10-01,10.011,1.2734999999999985
178,1764-11-01,5.791,-2.9465000000000003
179,1764-12-01,5.315,-3.4225000000000003
180,1765-01-01,3.78,-4.957500000000001
181,1765-02-01,3.832,-4.905500000000001
182,1765-03-01,6.859,-1.8785000000000007
183,1765-04-01,9.013,0.2754999999999992
184,1765-05-01,10.734000000000002,1.996500000000001
185,1765-06-01,10.832999999999998,2.0954999999999977
186,1765-07-01,13.953,5.215499999999999
187,1765-08-01,13.12,4.3824999999999985
188,1765-09-01,10.993,2.2554999999999996
189,1765-10-01,7.904,-0.8335000000000008
190,1765-11-01,5.603,-3.134500000000001
191,1765-12-01,2.399,-6.338500000000001
192,1766-01-01,-0.7930000000000001,-9.5305
193,1766-02-01,4.896,-3.841500000000001
194,1766-03-01,6.062,-2.6755000000000004
195,1766-04-01,8.007,-0.730500000000001
196,1766-05-01,11.228,2.490499999999999
197,1766-06-01,13.652999999999999,4.915499999999998
198,1766-07-01,13.555,4.817499999999999
199,1766-08-01,13.758,5.020499999999998
200,1766-09-01,12.25,3.5124999999999993
201,1766-10-01,8.465,-0.27250000000000085
202,1766-11-01,7.4540000000000015,-1.2834999999999992
203,1766-12-01,2.333,-6.4045000000000005
204,1767-01-01,-0.6430000000000002,-9.380500000000001
205,1767-02-01,3.932,-4.8055
206,1767-03-01,7.022,-1.7155000000000005
207,1767-04-01,6.278,-2.459500000000001
208,1767-05-01,10.193,1.455499999999999
209,1767-06-01,14.112,5.374499999999999
210,1767-07-01,13.361,4.6235
211,1767-08-01,14.597,5.859499999999999
212,1767-09-01,11.675,2.9375
213,1767-10-01,9.027,0.28949999999999854
214,1767-11-01,7.915,-0.8225000000000007
215,1767-12-01,1.189,-7.548500000000001
216,1768-01-01,-2.08,-10.8175
217,1768-02-01,0.5060000000000002,-8.2315
218,1768-03-01,2.446,-6.291500000000001
219,1768-04-01,6.92,-1.8175000000000008
220,1768-05-01,9.066,0.3285
221,1768-06-01,12.489999999999998,3.7524999999999977
222,1768-07-01,13.875,5.137499999999999
223,1768-08-01,12.352,3.6144999999999996
224,1768-09-01,10.824000000000002,2.086500000000001
225,1768-10-01,7.728999999999999,-1.0085000000000015
226,1768-11-01,4.581,-4.1565
227,1768-12-01,2.667,-6.070500000000001
228,1769-01-01,2.305,-6.432500000000001
229,1769-02-01,2.164,-6.573500000000001
230,1769-03-01,4.57,-4.1675
231,1769-04-01,8.966999999999997,0.22949999999999626
232,1769-05-01,12.873,4.135499999999999
233,1769-06-01,15.142,6.404499999999999
234,1769-07-01,14.461,5.7235
235,1769-08-01,13.494000000000002,4.756500000000001
236,1769-09-01,11.25,2.5124999999999993
237,1769-10-01,5.296999999999999,-3.440500000000002
238,1769-11-01,2.79,-5.947500000000001
239,1769-12-01,-0.9780000000000002,-9.7155
240,1770-01-01,1.974,-6.7635000000000005
241,1770-02-01,4.105,-4.6325
242,1770-03-01,1.612,-7.125500000000001
243,1770-04-01,9.788,1.0504999999999995
244,1770-05-01,9.996,1.2584999999999997
245,1770-06-01,11.884,3.1464999999999996
246,1770-07-01,11.621,2.8834999999999997
247,1770-08-01,11.413,2.6754999999999995
248,1770-09-01,10.724,1.9864999999999995
249,1770-10-01,8.661,-0.07650000000000112
250,1770-11-01,5.791,-2.9465000000000003
251,1770-12-01,4.734,-4.003500000000001
252,1771-01-01,5.101,-3.6365000000000007
253,1771-02-01,-0.274,-9.011500000000002
254,1771-03-01,2.814,-5.923500000000001
255,1771-04-01,5.716999999999999,-3.020500000000002
256,1771-05-01,9.626,0.8884999999999987
257,1771-06-01,14.104,5.3664999999999985
258,1771-07-01,13.828,5.090499999999999
259,1771-08-01,14.204,5.4665
260,1771-09-01,11.363,2.625499999999999
261,1771-10-01,10.317,1.5794999999999995
262,1771-11-01,4.916,-3.8215000000000003
263,1771-12-01,2.522,-6.2155000000000005
264,1772-01-01,1.253,-7.484500000000001
265,1772-02-01,1.4780000000000002,-7.259500000000001
266,1772-03-01,3.057,-5.6805
267,1772-04-01,8.857999999999997,0.12049999999999628
268,1772-05-01,9.531,0.7934999999999999
269,1772-06-01,12.646999999999998,3.9094999999999978
270,1772-07-01,14.581,5.843499999999999
271,1772-08-01,14.098,5.3605
272,1772-09-01,10.302999999999999,1.5654999999999983
273,1772-10-01,9.267999999999999,0.5304999999999982
274,1772-11-01,7.7360000000000015,-1.0014999999999992
275,1772-12-01,5.5120000000000005,-3.2255000000000003
276,1773-01-01,-0.43699999999999983,-9.1745
277,1773-02-01,1.4209999999999998,-7.316500000000001
278,1773-03-01,4.4220000000000015,-4.315499999999999
279,1773-04-01,9.415,0.6774999999999984
280,1773-05-01,12.764,4.026499999999999
281,1773-06-01,12.811,4.073499999999999
282,1773-07-01,14.484000000000002,5.746500000000001
283,1773-08-01,13.624,4.8865
284,1773-09-01,12.488,3.750499999999999
285,1773-10-01,9.206,0.4684999999999988
286,1773-11-01,3.3689999999999998,-5.368500000000001
287,1773-12-01,5.090999999999998,-3.6465000000000023
288,1774-01-01,-0.3249999999999997,-9.0625
289,1774-02-01,4.914,-3.823500000000001
290,1774-03-01,5.643,-3.094500000000001
291,1774-04-01,10.152999999999999,1.415499999999998
292,1774-05-01,16.025,7.287499999999998
293,1774-06-01,15.370999999999999,6.633499999999998
294,1774-07-01,16.521,7.7835
295,1774-08-01,14.099,5.3614999999999995
296,1774-09-01,10.936,2.1984999999999992
297,1774-10-01,8.59,-0.14750000000000085
298,1774-11-01,3.029,-5.708500000000001
299,1774-12-01,0.31000000000000005,-8.4275
300,1775-01-01,4.261,-4.476500000000001
301,1775-02-01,6.4270000000000005,-2.3105
302,1775-03-01,7.758999999999999,-0.9785000000000021
303,1775-04-01,7.951999999999999,-0.7855000000000016
304,1775-05-01,11.399,2.6614999999999984
305,1775-06-01,12.314,3.5764999999999993
306,1775-07-01,14.719,5.981499999999999
307,1775-08-01,14.435,5.6975
308,1775-09-01,11.095999999999998,2.3584999999999976
309,1775-10-01,10.372,1.6344999999999992
310,1775-11-01,8.179,-0.5585000000000004
311,1775-12-01,1.2839999999999998,-7.453500000000001
312,1776-01-01,-0.8059999999999999,-9.5435
313,1776-02-01,4.825,-3.9125000000000005
314,1776-03-01,4.652,-4.085500000000001
315,1776-04-01,7.439999999999999,-1.297500000000002
316,1776-05-01,10.475,1.737499999999999
317,1776-06-01,14.564,5.826499999999999
318,1776-07-01,14.108,5.3705
319,1776-08-01,14.837,6.099499999999999
320,1776-09-01,10.602,1.8644999999999996
321,1776-10-01,8.059999999999999,-0.677500000000002
322,1776-11-01,5.87,-2.8675000000000006
323,1776-12-01,5.021,-3.716500000000001
324,1777-01-01,6.021000000000001,-2.7165
325,1777-02-01,4.9190000000000005,-3.8185000000000002
326,1777-03-01,5.572,-3.1655000000000006
327,1777-04-01,6.361999999999999,-2.3755000000000015
328,1777-05-01,11.389,2.6514999999999986
329,1777-06-01,12.323,3.5854999999999997
330,1777-07-01,12.743,4.0055
331,1777-08-01,12.815,4.077499999999999
332,1777-09-01,11.379,2.641499999999999
333,1777-10-01,6.956,-1.7815000000000003
334,1777-11-01,5.529,-3.208500000000001
335,1777-12-01,3.067,-5.6705000000000005
336,1778-01-01,2.521,-6.216500000000001
337,1778-02-01,6.093999999999999,-2.6435000000000013
338,1778-03-01,4.604,-4.133500000000001
339,1778-04-01,10.983999999999998,2.2464999999999975
340,1778-05-01,11.286,2.548499999999999
341,1778-06-01,11.731,2.993499999999999
342,1778-07-01,15.037,6.2995
343,1778-08-01,12.869000000000002,4.131500000000001
344,1778-09-01,13.377,4.6395
345,1778-10-01,8.049,-0.6885000000000012
346,1778-11-01,3.854,-4.883500000000001
347,1778-12-01,2.101,-6.636500000000001
348,1779-01-01,1.4700000000000002,-7.2675
349,1779-02-01,5.14,-3.597500000000001
350,1779-03-01,6.9670000000000005,-1.7705000000000002
351,1779-04-01,9.965,1.2274999999999991
352,1779-05-01,14.18,5.442499999999999
353,1779-06-01,12.547,3.8095
354,1779-07-01,13.659,4.9215
355,1779-08-01,13.799,5.061499999999999
356,1779-09-01,12.683,3.945499999999999
357,1779-10-01,9.35,0.6124999999999989
358,1779-11-01,5.7700000000000005,-2.9675000000000002
359,1779-12-01,2.269,-6.468500000000001
360,1780-01-01,2.515,-6.2225
361,1780-02-01,4.08,-4.657500000000001
362,1780-03-01,5.724,-3.0135000000000005
363,1780-04-01,13.732,4.994499999999999
364,1780-05-01,15.756999999999998,7.019499999999997
365,1780-06-01,14.747,6.009499999999999
366,1780-07-01,16.183,7.445499999999999
367,1780-08-01,12.947,4.2094999999999985
368,1780-09-01,8.844,0.1064999999999987
369,1780-10-01,9.376,0.6384999999999987
370,1780-11-01,6.706,-2.0315000000000003
371,1780-12-01,2.584,-6.153500000000001
372,1781-01-01,2.401,-6.336500000000001
373,1781-02-01,2.267,-6.470500000000001
374,1781-03-01,4.772,-3.9655000000000005
375,1781-04-01,6.922999999999999,-1.8145000000000016
376,1781-05-01,11.102,2.3644999999999996
377,1781-06-01,11.677999999999999,2.9404999999999983
378,1781-07-01,14.285,5.547499999999999
379,1781-08-01,14.140999999999998,5.4034999999999975
380,1781-09-01,10.303999999999998,1.5664999999999978
381,1781-10-01,8.546999999999999,-0.1905000000000019
382,1781-11-01,7.523,-1.214500000000001
383,1781-12-01,3.2880000000000003,-5.4495000000000005
384,1782-01-01,0.3410000000000002,-8.3965
385,1782-02-01,0.6389999999999998,-8.098500000000001
386,1782-03-01,2.565,-6.172500000000001
387,1782-04-01,8.617999999999999,-0.11950000000000216
388,1782-05-01,10.989999999999998,2.2524999999999977
389,1782-06-01,13.800999999999998,5.063499999999998
390,1782-07-01,13.925,5.1875
391,1782-08-01,15.683,6.945499999999999
392,1782-09-01,12.398,3.660499999999999
393,1782-10-01,8.978,0.24049999999999905
394,1782-11-01,4.956,-3.7815000000000003
395,1782-12-01,1.921,-6.8165000000000004
396,1783-01-01,-1.4310000000000005,-10.168500000000002
397,1783-02-01,5.2940000000000005,-3.4435000000000002
398,1783-03-01,4.799,-3.9385000000000003
399,1783-04-01,8.574,-0.16350000000000087
400,1783-05-01,11.819,3.0815
401,1783-06-01,14.34,5.602499999999999
402,1783-07-01,13.069,4.3315
403,1783-08-01,13.970999999999998,5.233499999999998
404,1783-09-01,9.957999999999998,1.2204999999999977
405,1783-10-01,7.3569999999999975,-1.3805000000000032
406,1783-11-01,2.196,-6.541500000000001
407,1783-12-01,2.224,-6.5135000000000005
408,1784-01-01,2.596,-6.141500000000001
409,1784-02-01,0.9890000000000001,-7.748500000000001
410,1784-03-01,3.919,-4.8185
411,1784-04-01,8.142000000000001,-0.5954999999999995
412,1784-05-01,10.013,1.2754999999999992
413,1784-06-01,12.802999999999999,4.065499999999998
414,1784-07-01,14.947000000000001,6.2095
415,1784-08-01,15.861,7.1235
416,1784-09-01,10.265999999999998,1.5284999999999975
417,1784-10-01,6.835999999999999,-1.9015000000000013
418,1784-11-01,4.557,-4.1805
419,1784-12-01,3.415,-5.322500000000001
420,1785-01-01,0.865,-7.8725000000000005
421,1785-02-01,1.045,-7.692500000000001
422,1785-03-01,2.289,-6.448500000000001
423,1785-04-01,6.379,-2.358500000000001
424,1785-05-01,9.853,1.115499999999999
425,1785-06-01,13.744000000000002,5.006500000000001
426,1785-07-01,14.468,5.730499999999999
427,1785-08-01,14.466,5.728499999999999
428,1785-09-01,10.497,1.7594999999999992
429,1785-10-01,7.350999999999999,-1.3865000000000016
430,1785-11-01,5.526,-3.211500000000001
431,1785-12-01,1.873,-6.8645000000000005
432,1786-01-01,0.7630000000000001,-7.974500000000001
433,1786-02-01,2.657,-6.080500000000001
434,1786-03-01,5.648,-3.089500000000001
435,1786-04-01,9.318,0.5804999999999989
436,1786-05-01,11.582999999999998,2.8454999999999977
437,1786-06-01,13.035,4.297499999999999
438,1786-07-01,15.294,6.5565
439,1786-08-01,14.455,5.717499999999999
440,1786-09-01,12.158,3.4204999999999988
441,1786-10-01,7.7120000000000015,-1.0254999999999992
442,1786-11-01,5.7410000000000005,-2.9965
443,1786-12-01,0.7339999999999995,-8.0035
444,1787-01-01,2.845,-5.8925
445,1787-02-01,2.563,-6.1745
446,1787-03-01,4.698,-4.0395
447,1787-04-01,7.7719999999999985,-0.9655000000000022
448,1787-05-01,11.402999999999999,2.665499999999998
449,1787-06-01,14.369000000000002,5.631500000000001
450,1787-07-01,13.451,4.7135
451,1787-08-01,13.555,4.817499999999999
452,1787-09-01,10.357,1.6194999999999986
453,1787-10-01,7.7719999999999985,-0.9655000000000022
454,1787-11-01,5.801,-2.9365000000000006
455,1787-12-01,1.7959999999999998,-6.941500000000001
456,1788-01-01,0.7350000000000001,-8.002500000000001
457,1788-02-01,3.5810000000000004,-5.1565
458,1788-03-01,5.336,-3.4015000000000004
459,1788-04-01,8.713999999999999,-0.023500000000002075
460,1788-05-01,10.427999999999999,1.6904999999999983
461,1788-06-01,13.808,5.070499999999999
462,1788-07-01,16.468,7.730499999999999
463,1788-08-01,13.885,5.147499999999999
464,1788-09-01,11.699000000000002,2.961500000000001
465,1788-10-01,9.349,0.6114999999999995
466,1788-11-01,6.1110000000000015,-2.626499999999999
467,1788-12-01,1.2519999999999998,-7.485500000000001
468,1789-01-01,3.706,-5.031500000000001
469,1789-02-01,1.675,-7.062500000000001
470,1789-03-01,3.989,-4.748500000000001
471,1789-04-01,7.693999999999999,-1.0435000000000016
472,1789-05-01,11.665999999999999,2.928499999999998
473,1789-06-01,13.507,4.769499999999999
474,1789-07-01,15.462,6.724499999999999
475,1789-08-01,13.84,5.102499999999999
476,1789-09-01,12.017999999999999,3.280499999999998
477,1789-10-01,7.39,-1.347500000000001
478,1789-11-01,5.964,-2.7735000000000003
479,1789-12-01,3.0989999999999998,-5.6385000000000005
480,1790-01-01,2.444,-6.293500000000001
481,1790-02-01,2.9730000000000003,-5.7645
482,1790-03-01,4.582,-4.155500000000001
483,1790-04-01,6.052999999999999,-2.6845000000000017
484,1790-05-01,10.357,1.6194999999999986
485,1790-06-01,13.745999999999999,5.008499999999998
486,1790-07-01,13.812,5.074499999999999
487,1790-08-01,13.925,5.1875
488,1790-09-01,11.232999999999999,2.495499999999998
489,1790-10-01,8.577,-0.16050000000000075
490,1790-11-01,5.331,-3.4065000000000003
491,1790-12-01,2.755,-5.982500000000001
492,1791-01-01,1.493,-7.2445
493,1791-02-01,3.466,-5.2715000000000005
494,1791-03-01,4.79,-3.9475000000000007
495,1791-04-01,9.127,0.38949999999999996
496,1791-05-01,9.859,1.1214999999999993
497,1791-06-01,13.231,4.493499999999999
498,1791-07-01,13.612,4.874499999999999
499,1791-08-01,13.744000000000002,5.006500000000001
500,1791-09-01,11.677,2.939499999999999
501,1791-10-01,8.08,-0.6575000000000006
502,1791-11-01,6.206,-2.5315000000000003
503,1791-12-01,3.526,-5.211500000000001
504,1792-01-01,0.3480000000000003,-8.3895
505,1792-02-01,3.62,-5.117500000000001
506,1792-03-01,4.4289999999999985,-4.308500000000002
507,1792-04-01,7.994,-0.7435000000000009
508,1792-05-01,11.321,2.583499999999999
509,1792-06-01,13.581,4.843499999999999
510,1792-07-01,14.212,5.474499999999999
511,1792-08-01,12.281,3.5435
512,1792-09-01,12.491,3.753499999999999
513,1792-10-01,8.097000000000001,-0.6404999999999994
514,1792-11-01,5.306,-3.4315000000000007
515,1792-12-01,3.388,-5.349500000000001
516,1793-01-01,0.5209999999999999,-8.2165
517,1793-02-01,4.745,-3.9925000000000006
518,1793-03-01,5.042,-3.695500000000001
519,1793-04-01,8.642999999999999,-0.0945000000000018
520,1793-05-01,11.059,2.3214999999999986
521,1793-06-01,13.145999999999999,4.408499999999998
522,1793-07-01,14.336,5.5985
523,1793-08-01,13.16,4.422499999999999
524,1793-09-01,12.002,3.2645
525,1793-10-01,8.392999999999999,-0.3445000000000018
526,1793-11-01,5.666,-3.0715000000000003
527,1793-12-01,2.037,-6.700500000000001
528,1794-01-01,3.71,-5.027500000000001
529,1794-02-01,3.605,-5.1325
530,1794-03-01,5.6960000000000015,-3.041499999999999
531,1794-04-01,9.367,0.6295000000000002
532,1794-05-01,12.376,3.6384999999999987
533,1794-06-01,11.994000000000002,3.256500000000001
534,1794-07-01,12.874,4.1365
535,1794-08-01,13.484000000000002,4.746500000000001
536,1794-09-01,11.895999999999999,3.1584999999999983
537,1794-10-01,9.107999999999999,0.37049999999999805
538,1794-11-01,5.284,-3.453500000000001
539,1794-12-01,2.918,-5.819500000000001
540,1795-01-01,2.7310000000000003,-6.006500000000001
541,1795-02-01,4.39,-4.347500000000001
542,1795-03-01,5.709,-3.028500000000001
543,1795-04-01,8.918,0.18049999999999855
544,1795-05-01,11.029000000000002,2.291500000000001
545,1795-06-01,13.293,4.5554999999999986
546,1795-07-01,14.295,5.557499999999999
547,1795-08-01,13.14,4.4025
548,1795-09-01,11.133,2.3954999999999984
549,1795-10-01,7.786,-0.9515000000000011
550,1795-11-01,5.207000000000002,-3.530499999999999
551,1795-12-01,2.573,-6.1645
552,1796-01-01,2.8440000000000003,-5.8935
553,1796-02-01,2.736,-6.0015
554,1796-03-01,3.477,-5.2605
555,1796-04-01,7.773,-0.964500000000001
556,1796-05-01,11.273,2.535499999999999
557,1796-06-01,14.216,5.478499999999999
558,1796-07-01,14.314,5.576499999999999
559,1796-08-01,14.722,5.984499999999999
560,1796-09-01,12.012,3.2744999999999997
561,1796-10-01,8.924,0.18649999999999878
562,1796-11-01,5.702000000000001,-3.0355
563,1796-12-01,1.259,-7.4785
564,1797-01-01,4.396,-4.341500000000001
565,1797-02-01,4.957,-3.780500000000001
566,1797-03-01,4.056,-4.681500000000001
567,1797-04-01,6.6,-2.137500000000001
568,1797-05-01,10.417,1.679499999999999
569,1797-06-01,13.852,5.1145
570,1797-07-01,14.107,5.369499999999999
571,1797-08-01,14.04,5.302499999999998
572,1797-09-01,12.459,3.721499999999999
573,1797-10-01,9.191,0.4535
574,1797-11-01,4.777,-3.9605000000000006
575,1797-12-01,3.275,-5.4625
576,1798-01-01,2.6790000000000003,-6.0585
577,1798-02-01,3.213,-5.524500000000001
578,1798-03-01,7.007999999999999,-1.7295000000000016
579,1798-04-01,8.083,-0.6545000000000005
580,1798-05-01,11.768999999999998,3.0314999999999976
581,1798-06-01,13.245999999999999,4.508499999999998
582,1798-07-01,14.951,6.2135
583,1798-08-01,14.754,6.016499999999999
584,1798-09-01,11.627,2.8895
585,1798-10-01,8.655,-0.08250000000000135
586,1798-11-01,6.0310000000000015,-2.7064999999999992
587,1798-12-01,2.0269999999999997,-6.7105000000000015
588,1799-01-01,1.923,-6.814500000000001
589,1799-02-01,2.0780000000000003,-6.6595
590,1799-03-01,3.986,-4.7515
591,1799-04-01,8.786,0.04849999999999888
592,1799-05-01,11.353,2.615499999999999
593,1799-06-01,13.68,4.942499999999999
594,1799-07-01,14.869000000000002,6.131500000000001
595,1799-08-01,14.086,5.3485
596,1799-09-01,12.311,3.5734999999999992
597,1799-10-01,9.606,0.8684999999999992
598,1799-11-01,5.904,-2.833500000000001
599,1799-12-01,3.487,-5.250500000000001
600,1800-01-01,2.815,-5.922500000000001
601,1800-02-01,3.634,-5.1035
602,1800-03-01,4.452,-4.285500000000001
603,1800-04-01,9.125,0.3874999999999993
604,1800-05-01,11.097,2.359499999999999
605,1800-06-01,13.606,4.868499999999999
606,1800-07-01,13.763,5.025499999999999
607,1800-08-01,13.619000000000002,4.881500000000001
608,1800-09-01,10.795,2.057499999999999
609,1800-10-01,9.469,0.7314999999999987
610,1800-11-01,5.572,-3.1655000000000006
611,1800-12-01,3.864,-4.873500000000001
612,1801-01-01,2.6870000000000003,-6.0505
613,1801-02-01,3.149,-5.588500000000001
614,1801-03-01,6.455,-2.2825000000000006
615,1801-04-01,7.404,-1.3335000000000008
616,1801-05-01,12.123,3.3854999999999986
617,1801-06-01,12.536,3.798499999999999
618,1801-07-01,14.675999999999998,5.938499999999998
619,1801-08-01,13.187,4.449499999999999
