dt,LandAverageTemperature,LandMaxTemperature,LandMinTemperature
1851-12-31,3.14,6.436,-3.242
1852-12-31,3.785,10.781,-0.639
1853-12-31,2.858,8.23,-4.015
1854-12-31,3.457,8.506,-3.397
1855-12-31,2.214,7.879,-3.453
1856-12-31,3.381,7.885,-3.33
1857-12-31,3.515,9.509,-1.546
1858-12-31,2.444,8.49,-1.965
1859-12-31,3.365,8.255,-3.422
1860-12-31,1.634,8.556,-2.525
1861-12-31,2.894,8.945,-2.191
1862-12-31,1.623,9.402,-1.747
1863-12-31,2.651,8.55,-2.586
1864-12-31,2.266,8.555,-2.663
1865-12-31,2.646,8.218,-2.517
1866-12-31,4.152,8.676,-2.953
1867-12-31,3.937,8.313,-3.678
1868-12-31,3.344,8.54,-2.488
1869-12-31,2.706,8.531,-2.519
1870-12-31,2.228,8.485,-3.1
1871-12-31,3.163,7.912,-3.677
1872-12-31,2.627,8.526,-3.418
1873-12-31,3.846,8.848,-2.628
1874-12-31,3.407,9.495,-1.678
1875-12-31,2.665,8.742,-2.402
1876-12-31,2.194,8.805,-2.806
1877-12-31,2.996,9.491,-0.575
1878-12-31,3.344,9.268,-2.246
1879-12-31,2.538,8.173,-3.531
1880-12-31,3.106,7.687,-2.657
1881-12-31,3.196,8.598,-2.597
1882-12-31,2.205,8.573,-2.795
1883-12-31,3.261,8.587,-2.803
1884-12-31,3.028,8.041,-2.554
1885-12-31,3.644,9.156,-1.539
1886-12-31,3.502,8.616,-1.862
1887-12-31,2.875,8.298,-2.656
1888-12-31,3.222,9.327,-2.511
1889-12-31,3.099,9.264,-2.395
1890-12-31,2.969,8.611,-2.729
1891-12-31,3.602,9.803,-2.138
1892-12-31,2.935,8.297,-2.847
1893-12-31,3.155,9.03,-2.79
1894-12-31,3.133,8.757,-2.202
1895-12-31,3.462,9.232,-2.206
1896-12-31,3.312,8.811,-2.36
1897-12-31,3.171,8.5,-2.177
1898-12-31,3.407,9.443,-2.096
1899-12-31,3.005,8.639,-2.668
31-12-1900,3.655,9.466,-1.826
31-12-1901,3.335,9.061,-2.28
31-12-1902,2.713,8.435,-2.992
31-12-1903,2.898,8.533,-2.687
31-12-1904,3.374,9.212,-2.067
31-12-1905,3.354,9.06,-1.931
31-12-1906,3.761,9.258,-1.664
31-12-1907,2.956,8.831,-2.585
31-12-1908,3.071,8.901,-2.535
31-12-1909,3.223,8.763,-2.353
31-12-1910,2.684,8.5,-2.999
31-12-1911,3.39,8.811,-1.981
31-12-1912,3.069,8.307,-2.459
31-12-1913,4.103,9.556,-1.43
31-12-1914,3.6,8.764,-1.624
31-12-1915,3.633,9.515,-2.069
31-12-1916,2.316,7.838,-3.402
31-12-1917,2.247,7.703,-3.43
31-12-1918,2.848,8.266,-2.627
31-12-1919,3.224,8.756,-2.395
31-12-1920,2.629,8.225,-3.063
31-12-1921,3.663,9.157,-1.874
31-12-1922,3.667,8.968,-1.865
31-12-1923,3.88,9.269,-1.903
31-12-1924,3.485,8.639,-2.021
31-12-1925,4.398,10.011,-1.47
31-12-1926,3.366,8.63,-2.248
31-12-1927,3.267,8.689,-2.392
31-12-1928,3.873,9.186,-1.751
31-12-1929,2.571,7.769,-2.945
31-12-1930,3.831,9.066,-1.736
31-12-1931,4.027,9.477,-1.573
31-12-1932,3.527,8.888,-2.071
31-12-1933,3.104,8.456,-2.533
31-12-1934,3.985,9.279,-1.62
31-12-1935,3.423,8.675,-2.09
31-12-1936,3.921,9.181,-1.441
31-12-1937,3.478,8.999,-2.196
31-12-1938,3.51,8.922,-2.001
31-12-1939,4.959,10.629,-0.738
31-12-1940,4.134,9.592,-1.418
31-12-1941,3.707,9.076,-1.87
31-12-1942,3.945,9.368,-1.474
31-12-1943,4.233,9.705,-1.326
31-12-1944,3.434,8.896,-1.969
31-12-1945,3.158,8.671,-2.337
31-12-1946,3.134,8.514,-2.31
31-12-1947,3.656,9.086,-1.784
31-12-1948,3.491,8.981,-2.03
31-12-1949,3.449,8.843,-1.892
31-12-1950,3.528,9.123,-2.071
31-12-1951,4.328,9.788,-1.162
31-12-1952,3.659,9.215,-1.85
31-12-1953,3.998,9.366,-1.299
31-12-1954,3.559,8.915,-1.773
31-12-1955,3.306,8.802,-2.254
31-12-1956,3.598,8.962,-1.775
31-12-1957,4.328,9.68,-0.943
31-12-1958,3.822,9.23,-1.557
31-12-1959,3.77,9.122,-1.493
31-12-1960,4.259,9.64,-0.978
31-12-1961,3.5,9.016,-1.915
31-12-1962,3.94,9.425,-1.43
31-12-1963,3.75,9.346,-1.666
31-12-1964,3.458,8.759,-1.783
31-12-1965,3.766,9.235,-1.543
31-12-1966,3.382,8.758,-1.927
31-12-1967,3.915,9.279,-1.42
31-12-1968,3.24,8.551,-2.116
31-12-1969,4.21,9.587,-1.139
31-12-1970,3.521,8.941,-1.829
31-12-1971,3.867,9.228,-1.439
31-12-1972,3.778,9.182,-1.492
31-12-1973,3.832,9.292,-1.514
31-12-1974,3.55,8.739,-1.522
31-12-1975,3.667,9.079,-1.636
31-12-1976,3.681,9.086,-1.708
31-12-1977,3.749,9.001,-1.385
31-12-1978,3.74,9.195,-1.617
31-12-1979,4.6,10,-0.669
31-12-1980,4.016,9.431,-1.277
31-12-1981,4.519,10.068,-0.878
31-12-1982,4.327,9.637,-0.705
31-12-1983,3.829,9.25,-1.312
31-12-1984,3.185,8.411,-1.88
31-12-1985,3.785,9.044,-1.368
31-12-1986,3.751,9.071,-1.399
31-12-1987,4.489,9.857,-0.712
31-12-1988,4.363,9.707,-0.852
31-12-1989,4.43,9.802,-0.807
31-12-1990,4.425,9.935,-0.922
31-12-1991,4.059,9.284,-1.061
31-12-1992,4.075,9.455,-1.063
31-12-1993,4.035,9.358,-1.139
31-12-1994,4.113,9.313,-1.102
31-12-1995,4.123,9.396,-1.143
31-12-1996,4.325,9.82,-1.089
31-12-1997,4.417,9.634,-0.737
31-12-1998,4.669,10.083,-0.656
31-12-1999,4.565,9.953,-0.692
31-12-2000,3.863,9.182,-1.333
31-12-2001,4.507,9.841,-0.685
31-12-2002,4.038,9.357,-1.189
31-12-2003,5.133,10.545,-0.179
31-12-2004,4.257,9.593,-0.932
31-12-2005,4.878,10.279,-0.395
31-12-2006,4.987,10.346,-0.243
31-12-2007,4.523,9.873,-0.684
31-12-2008,4.385,9.834,-0.946
31-12-2009,4.31,9.661,-0.94
31-12-2010,4.292,9.887,-1.139
31-12-2011,4.655,10.098,-0.641
31-12-2012,4.102,9.498,-1.162
31-12-2013,4.724,10.083,-0.548
31-12-2014,4.85,10.19,-0.331
31-12-2015,5.518,10.725,0.287
